key,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.864599201225888,0.8512092923325507,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.573937981387978,0.8361898620772699,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.738096795121272,0.8342592083708482,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.908960072390938,0.8504647030664642,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.660491213276632,0.8347089357457121,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.758888861541863,0.8339053308503577,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.738516387915015,0.8533255697401783,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.535455702078098,0.8368482941136574,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.697479374053506,0.8349505101378505,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.737586281238743,0.8533411814139187,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.584474771186178,0.8360095775388218,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.611211471184262,0.8364187755304165,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
