key,n_features,missing_rate,prop_latent,sm_type,sm_param,snr,perm,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.71667703617765,0.8167947197608844,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.654612261332243,0.8188109999713821,False,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.647874164429254,0.8214203075264419,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.613114799292541,0.8185651518236101,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.556100927799813,0.820486252864348,True,True,1.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.157439225539534,0.8296455850994802,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.362105637927229,0.8228562397788854,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.341023660929375,0.8241437895214604,False,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.242742150391651,0.8282149361406415,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.507314013136256,0.8203738526561394,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.419987613372747,0.8228009532707743,True,False,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.282911741756305,0.8275412360985568,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.569275007315143,0.8193146081474063,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.460059716064187,0.8221194996394623,False,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.230437988056813,0.8284212940945362,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.478109870208293,0.8208731075250879,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.337477433334424,0.8242040955575736,True,True,2.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.914858176855228,0.8337140074347735,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.341225637219646,0.8232131905732514,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.321161831289174,0.8244815535773433,False,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.151368206001166,0.8297474045599116,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.63578501193677,0.818177596740393,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.596580503371905,0.8197978698768122,True,False,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.065347301164548,0.8311900950439274,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.50329504273156,0.8204425583376467,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.413318026426662,0.8229143741780514,False,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.948622078538707,0.8331477397379327,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.467647627846999,0.8210519631570399,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.398839077545935,0.8231605986491835,True,True,3.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.909677189024848,0.8338008998227912,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.546517467845048,0.8197036561127501,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.52505026490438,0.8210142907152106,False,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.990798933893366,0.832440375080685,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.658281067770597,0.817793018927756,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.588124596606942,0.8199416683796108,True,False,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,10.198220575255396,0.8289616250170776,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.699546342298014,0.8170875748653458,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.69622897664372,0.8181032791414905,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.970408094941536,0.8327823578739697,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.510498576520781,0.8203194114496598,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.438271050878717,0.8224900308573125,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.982052968526599,0.8325870571114324,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.632119664497285,0.8182402571156715,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.555486393362344,0.8204967034445734,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.953698807770127,0.8330625959119521,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.677955693851247,0.8174566744272604,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,val,10000,10.688432651706608,0.8182358610022478,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,train,10000,9.893650713662575,0.8340696861549203,False,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,gaussian,2,10,False,0,Neumann,test,10000,10.4999323926686,0.8205000439971522,False,True,5.0,100.0,0.001,10.0,,,False,,,,,
