,iter,method,train_test,r2,depth
362,6,Neumann_res,train,0.8442626230402609,8.0
363,6,Neumann_res,test,0.8299518712751268,8.0
364,6,Neumann,train,0.8459056574374251,8.0
365,6,Neumann,test,0.8306374861611707,8.0
366,6,Neumann_res,train,0.8466571309070245,9.0
367,6,Neumann_res,test,0.8303957170474814,9.0
368,6,Neumann,train,0.8469561805836452,9.0
369,6,Neumann,test,0.8298633009840103,9.0
370,6,Neumann_analytic,,0.7057905907006883,0.0
371,6,Neumann_analytic,,0.7452156000124455,1.0
372,6,Neumann_analytic,,0.7655865334607436,2.0
373,6,Neumann_analytic,,0.7784334287518209,3.0
374,6,Neumann_analytic,,0.7874749488578064,4.0
375,6,Neumann_analytic,,0.7942860820239351,5.0
376,6,Neumann_analytic,,0.8134395187501874,10.0
377,6,Neumann_analytic,,0.8227521844249607,15.0
378,6,Neumann_analytic,,0.8283761596110868,20.0
379,6,Neumann_analytic,,0.834882275649073,30.0
380,6,Neumann_analytic,,0.8385313442602991,40.0
381,6,Neumann_analytic,,0.8408590973370547,50.0
382,6,Neumann_analytic,,0.8457625966944378,100.0
383,6,Bayes_rate,train,0.8457625966944378,
384,6,Bayes_rate,test,0.8457625966944378,
385,7,Neumann_res,train,0.7179814603058179,0.0
386,7,Neumann_res,test,0.7127144528716586,0.0
387,7,Neumann,train,0.7136454785553654,0.0
388,7,Neumann,test,0.7087315567616289,0.0
389,7,Neumann_res,train,0.7607564931674873,1.0
390,7,Neumann_res,test,0.7540297913234242,1.0
391,7,Neumann,train,0.7603755635382263,1.0
392,7,Neumann,test,0.7536268517163682,1.0
393,7,Neumann_res,train,0.7747721931064124,2.0
394,7,Neumann_res,test,0.7672966973006229,2.0
395,7,Neumann,train,0.7816769266610037,2.0
396,7,Neumann,test,0.7729710683697069,2.0
397,7,Neumann_res,train,0.7854515639966823,3.0
398,7,Neumann_res,test,0.7736662501558235,3.0
399,7,Neumann,train,0.7903660329949901,3.0
400,7,Neumann,test,0.7798862706943727,3.0
401,7,Neumann_res,train,0.7957446813175647,4.0
402,7,Neumann_res,test,0.7839452565127052,4.0
403,7,Neumann,train,0.7964627070109914,4.0
404,7,Neumann,test,0.7832711071130392,4.0
405,7,Neumann_res,train,0.7993342879513989,5.0
406,7,Neumann_res,test,0.7861885570548478,5.0
407,7,Neumann,train,0.8001319358526986,5.0
408,7,Neumann,test,0.7854194159174361,5.0
409,7,Neumann_res,train,0.8021728170847648,6.0
410,7,Neumann_res,test,0.7871612050002232,6.0
411,7,Neumann,train,0.802774321006842,6.0
412,7,Neumann,test,0.7853291136966154,6.0
413,7,Neumann_res,train,0.8041979305763988,7.0
414,7,Neumann_res,test,0.7891975791321177,7.0
415,7,Neumann,train,0.8060498519316903,7.0
416,7,Neumann,test,0.7873589876161647,7.0
417,7,Neumann_res,train,0.8056117605684159,8.0
418,7,Neumann_res,test,0.7879612930893048,8.0
419,7,Neumann,train,0.807810614995405,8.0
420,7,Neumann,test,0.7859856223194497,8.0
421,7,Neumann_res,train,0.806779500763035,9.0
422,7,Neumann_res,test,0.7841274995725981,9.0
423,7,Neumann,train,0.8087520556928574,9.0
424,7,Neumann,test,0.7851817040361763,9.0
425,7,Neumann_analytic,,0.6140840094680085,0.0
426,7,Neumann_analytic,,0.6597047062768857,1.0
427,7,Neumann_analytic,,0.6851166116781959,2.0
428,7,Neumann_analytic,,0.7022128226174428,3.0
429,7,Neumann_analytic,,0.7148552574938505,4.0
430,7,Neumann_analytic,,0.7247346898339352,5.0
431,7,Neumann_analytic,,0.7540774688336568,10.0
432,7,Neumann_analytic,,0.7690153085683259,15.0
433,7,Neumann_analytic,,0.7781543702084799,20.0
434,7,Neumann_analytic,,0.7887612787996503,30.0
435,7,Neumann_analytic,,0.7947103756164904,40.0
436,7,Neumann_analytic,,0.798508177813145,50.0
437,7,Neumann_analytic,,0.8066292123292874,100.0
438,7,Bayes_rate,train,0.8066292123292874,
439,7,Bayes_rate,test,0.8066292123292874,
440,8,Neumann_res,train,0.7010504632399777,0.0
441,8,Neumann_res,test,0.6973164838967854,0.0
442,8,Neumann,train,0.7000420645467218,0.0
443,8,Neumann,test,0.6967495527517145,0.0
444,8,Neumann_res,train,0.7473722935146765,1.0
445,8,Neumann_res,test,0.7440071260942819,1.0
446,8,Neumann,train,0.7504920876645886,1.0
447,8,Neumann,test,0.7463602776580043,1.0
448,8,Neumann_res,train,0.7694052470395477,2.0
449,8,Neumann_res,test,0.7664919132668253,2.0
450,8,Neumann,train,0.7731081694963207,2.0
451,8,Neumann,test,0.7697708860728889,2.0
452,8,Neumann_res,train,0.7810475363325444,3.0
453,8,Neumann_res,test,0.7759738106232019,3.0
454,8,Neumann,train,0.7857702072840658,3.0
455,8,Neumann,test,0.7807242502413336,3.0
456,8,Neumann_res,train,0.7919473802363804,4.0
457,8,Neumann_res,test,0.7850488269328442,4.0
458,8,Neumann,train,0.7944806324341765,4.0
459,8,Neumann,test,0.7878372236043298,4.0
460,8,Neumann_res,train,0.7956041738641113,5.0
461,8,Neumann_res,test,0.7876906966196214,5.0
462,8,Neumann,train,0.7985278914034697,5.0
463,8,Neumann,test,0.7906282352295132,5.0
464,8,Neumann_res,train,0.7986751917905649,6.0
465,8,Neumann_res,test,0.788302865934778,6.0
466,8,Neumann,train,0.8020405133797358,6.0
467,8,Neumann,test,0.7920089860906709,6.0
468,8,Neumann_res,train,0.8033381949994385,7.0
469,8,Neumann_res,test,0.7910440414277041,7.0
470,8,Neumann,train,0.8035976272180465,7.0
471,8,Neumann,test,0.7912852992367383,7.0
472,8,Neumann_res,train,0.8037509698067636,8.0
473,8,Neumann_res,test,0.7890225769355623,8.0
474,8,Neumann,train,0.805868417946588,8.0
475,8,Neumann,test,0.790439532985119,8.0
476,8,Neumann_res,train,0.8067806015094972,9.0
477,8,Neumann_res,test,0.7922878035682518,9.0
478,8,Neumann,train,0.8084013698824043,9.0
479,8,Neumann,test,0.7899962751635332,9.0
480,8,Neumann_analytic,,0.5444830163179277,0.0
481,8,Neumann_analytic,,0.614780436555787,1.0
482,8,Neumann_analytic,,0.6532153285278458,2.0
483,8,Neumann_analytic,,0.67788340720478,3.0
484,8,Neumann_analytic,,0.6952850753721047,4.0
485,8,Neumann_analytic,,0.7083606980487525,5.0
486,8,Neumann_analytic,,0.744987574931536,10.0
487,8,Neumann_analytic,,0.7629452050275751,15.0
488,8,Neumann_analytic,,0.7739142119287149,20.0
489,8,Neumann_analytic,,0.7867282664094228,30.0
490,8,Neumann_analytic,,0.7939696615364851,40.0
491,8,Neumann_analytic,,0.7986077811105055,50.0
492,8,Neumann_analytic,,0.8085178623426035,100.0
493,8,Bayes_rate,train,0.8085178623426035,
494,8,Bayes_rate,test,0.8085178623426035,
495,9,Neumann_res,train,0.7404562774192749,0.0
496,9,Neumann_res,test,0.7323509806142776,0.0
497,9,Neumann,train,0.7433935873425177,0.0
498,9,Neumann,test,0.7352926961102064,0.0
499,9,Neumann_res,train,0.7776688082826928,1.0
500,9,Neumann_res,test,0.7699231638275916,1.0
501,9,Neumann,train,0.7838953958089188,1.0
502,9,Neumann,test,0.7775783305825098,1.0
503,9,Neumann_res,train,0.796551950326875,2.0
504,9,Neumann_res,test,0.788164611217281,2.0
505,9,Neumann,train,0.8001954597627128,2.0
506,9,Neumann,test,0.7929874972100331,2.0
507,9,Neumann_res,train,0.8054941077068827,3.0
508,9,Neumann_res,test,0.7956248962919555,3.0
509,9,Neumann,train,0.8092809669789958,3.0
510,9,Neumann,test,0.7996815570699939,3.0
511,9,Neumann_res,train,0.8129221925586082,4.0
512,9,Neumann_res,test,0.8016101472416675,4.0
513,9,Neumann,train,0.8153501278176225,4.0
514,9,Neumann,test,0.8031817358586375,4.0
515,9,Neumann_res,train,0.8164733382887264,5.0
516,9,Neumann_res,test,0.8040257568534855,5.0
517,9,Neumann,train,0.8184578011453153,5.0
518,9,Neumann,test,0.8034944071748185,5.0
519,9,Neumann_res,train,0.818395324557687,6.0
520,9,Neumann_res,test,0.803890682258311,6.0
521,9,Neumann,train,0.8207905786946671,6.0
522,9,Neumann,test,0.8059388548121722,6.0
523,9,Neumann_res,train,0.8206817426735705,7.0
524,9,Neumann_res,test,0.8035655680482603,7.0
525,9,Neumann,train,0.8225657233125401,7.0
526,9,Neumann,test,0.8054618349191982,7.0
527,9,Neumann_res,train,0.8212361899322024,8.0
528,9,Neumann_res,test,0.801716023396256,8.0
529,9,Neumann,train,0.8231572129984439,8.0
530,9,Neumann,test,0.8060648295415718,8.0
531,9,Neumann_res,train,0.8251383489558576,9.0
532,9,Neumann_res,test,0.8058391439098591,9.0
533,9,Neumann,train,0.8241057982152208,9.0
534,9,Neumann,test,0.8021469863017358,9.0
535,9,Neumann_analytic,,0.5692698031616411,0.0
536,9,Neumann_analytic,,0.6317290938471469,1.0
537,9,Neumann_analytic,,0.6663016986515663,2.0
538,9,Neumann_analytic,,0.6892169648170456,3.0
539,9,Neumann_analytic,,0.7058878480582707,4.0
540,9,Neumann_analytic,,0.7187191772043664,5.0
541,9,Neumann_analytic,,0.7556891370951725,10.0
542,9,Neumann_analytic,,0.7738588793748571,15.0
543,9,Neumann_analytic,,0.7848143396122954,20.0
544,9,Neumann_analytic,,0.7975001343472796,30.0
545,9,Neumann_analytic,,0.8046902141878345,40.0
546,9,Neumann_analytic,,0.809348967779425,50.0
547,9,Neumann_analytic,,0.8195595287144428,100.0
548,9,Bayes_rate,train,0.8195595287144428,
549,9,Bayes_rate,test,0.8195595287144428,
